precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORACHE DANIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","CONSTANTIN IOANA-FELICIA-PARTIDUL MIȘCAREA POPULARĂ-voturi","NENOVICI AMALIA-PARTIDUL ALIANŢA LIBERALILOR ŞI DEMOCRAŢILOR – ALDE-voturi","ALBERTS ADINA-MAGDALENA-ALIANȚA PRO BUCUREȘTI 2020-voturi","MECHNO CRINA-VERONICA-PARTIDUL VERDE-voturi","MUSTĂREAŢĂ MĂDĂLINA-ANDREEA-PARTIDUL SOCIAL DEMOCRAT INDEPENDENT-voturi","BAHMUŢEANU ADRIANA-CRISTINA-PARTIDUL ECOLOGIST ROMÂN-voturi","GEREA ANDREI-DOMINIC-PARTIDUL PUTERII UMANISTE (SOCIAL-LIBERAL)-voturi","CIULU MIOARA-SABINA-PARTIDUL FORȚA IDENTITĂȚII NAȚIONALE-voturi","CULEA MARIAN-ORLANDO-PARTIDUL ADER LA DEMOCRAŢIE, EDUCAŢIE ŞI RECONSTRUCŢIE-voturi","ONORIU EMANUEL-MIȘCAREA PATRIOȚILOR ROMÂNI-voturi","LAZĂR-ŞERBĂNESCU JAQUELINE-MARILENA-PARTIDUL ROMÂNIEI EUROPENE-voturi","CICEU GABRIEL-CIPRIAN-PARTIDUL RE:START ROMÂNIA-voturi","TOADER FLORIN-PARTIDUL ALTERNATIVA PENTRU DEMNITATE NATIONALĂ-voturi","MAMOC REMUS-BOGDAN-PARTIDUL ROMÂNIA MARE-voturi","ARMAND CLOTILDE-MARIE-BRIGITTE-ALIANȚA USR PLUS-voturi","CURIC ELENA-PARTIDUL NAȚIUNEA ROMÂNĂ-voturi","DÎRLĂU ANDREI-EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BUCURA DANIEL-voturi","SCHINAGEL-COSTEA TUDOR-HELMUT-voturi"
42,"MUNICIPIUL BUCUREŞTI","CLUBUL SPORTIV ŞCOLAR NR.5",110,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1004,991,4,9,0,328,319,0,9,0,316,12,1196,868,149,28,12,7,3,4,4,1,0,0,0,1,1,1,11,89,1,1,0,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL ECONOMIC ”V. MADGEARU”",66,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1060,1016,31,12,1,437,422,2,12,1,428,9,1100,63,133,40,5,12,2,0,5,3,0,0,0,0,0,0,0,216,0,1,7,4
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL GERMAN ”GOETHE”",102,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",908,880,21,7,0,375,366,2,7,0,363,12,998,623,137,43,10,10,3,0,1,1,0,1,0,0,1,1,1,147,0,1,4,2
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL GERMAN ”GOETHE”",100,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",957,912,34,10,1,419,407,1,10,1,411,8,1000,581,140,49,3,10,1,1,17,1,0,0,0,2,0,1,4,170,0,1,8,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL GERMAN ”GOETHE”",101,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",798,786,1,10,1,351,339,1,10,1,343,8,1000,649,112,35,7,6,3,1,5,1,1,0,1,1,0,1,1,154,1,1,6,6
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”AUREL VLAICU”",132,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1223,1203,6,13,1,619,605,0,13,1,610,9,1396,777,223,49,9,16,1,0,4,3,0,0,1,0,0,1,2,272,2,8,14,5
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”AUREL VLAICU”",131,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1394,1365,11,16,2,708,686,4,16,2,701,7,1600,892,193,71,6,13,9,0,4,1,0,1,1,0,0,0,1,383,1,2,12,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL ”AUREL VLAICU”",133,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",882,868,2,12,0,422,410,0,12,0,416,6,1000,578,169,33,2,8,4,2,5,1,2,1,1,0,0,0,3,158,3,3,18,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",58,"BUCUREŞTI SECTORUL 1",179141,1,PART,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1376,1349,11,15,1,682,666,0,15,1,666,16,1401,719,192,64,9,10,18,0,3,0,0,2,0,0,0,1,2,353,0,0,9,3
42,"MUNICIPIUL BUCUREŞTI","COLEGIUL NAŢIONAL DE INFORMATICĂ ”TUDOR VIANU”",57,"BUCUREŞTI SECTORUL 1",179141,1,PROV,PRCNCT,P,P_SV_SECTOR,"2020-09-28 13:50:01",1215,1138,55,15,7,555,533,0,15,7,551,4,1202,647,148,40,7,7,6,0,4,2,1,1,0,0,0,0,3,314,1,4,11,2
