Nr_sectie,Sectie_vot,Localitate,Inscrisi_permanente,Inscrisi_complementare,Votanti_permanente,Votanti_compl,Votanti-supl,Votanti_um,Total,Prezenta
55,COLEGIUL TEHNIC DE TRANSPORTURI,PIATRA-NEAM?,1.183,14,336,0,15,11,362,30.24
56,COLEGIUL TEHNIC FORESTIER,PIATRA-NEAM?,1.254,1,385,0,8,0,393,31.31
57,COLEGIUL TEHNIC FORESTIER,PIATRA-NEAM?,1.348,3,474,0,9,0,483,35.75
58,LICEUL TEHNOLOGIC ECONOMIC ADMINISTRATIV,PIATRA-NEAM?,1.382,4,498,0,10,0,508,36.65
59,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.37,3,469,0,6,29,504,36.70
60,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,888,0,273,0,8,0,281,31.64
61,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.268,3,432,0,11,0,443,34.85
62,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.309,0,307,0,11,0,318,24.29
63,?COALA GIMNAZIAL? NR.1,PIATRA-NEAM?,1.842,4,593,0,7,0,600,32.50
64,GR?DINI?A CU PROGRAM NORMAL NR.19,PIATRA-NEAM?,833,0,269,0,9,0,278,33.37
65,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”,PIATRA-NEAM?,1.391,4,415,0,9,0,424,30.39
66,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”,PIATRA-NEAM?,1.258,2,508,0,6,0,514,40.79
67,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA” CORP B,PIATRA-NEAM?,1.054,1,401,0,4,0,405,38.38
68,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.755,1,457,0,6,1,464,26.42
69,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,992,0,319,0,9,0,328,33.06
70,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.238,0,390,0,6,0,396,31.98
71,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,896,2,271,0,12,0,283,31.51
72,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.698,2,434,0,9,0,443,26.05
73,GR?DINI?A CU PROGRAM PRELUNGIT ”FLOARE DE COL?”,PIATRA-NEAM?,1.506,6,418,0,7,0,425,28.10
74,GR?DINI?A CU PROGRAM PRELUNGIT ”FLOARE DE COL?”,PIATRA-NEAM?,1.276,0,385,0,6,0,391,30.64
75,GR?DINI?A CU PROGRAM NORMAL NR.1,PIATRA-NEAM?,1.511,0,492,0,9,0,501,33.15
