Nr_sectie,Sectie_vot,Localitate,Inscrisi_permanente,Inscrisi_complementare,Votanti_permanente,Votanti_compl,Votanti-supl,Votanti_um,Total,Prezenta
57,COLEGIUL TEHNIC FORESTIER,PIATRA-NEAM?,1.348,3,315,0,8,0,323,23.90
58,LICEUL TEHNOLOGIC ECONOMIC ADMINISTRATIV,PIATRA-NEAM?,1.382,4,343,0,7,0,350,25.25
59,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.37,3,305,0,5,29,339,24.69
60,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,888,0,201,0,6,0,207,23.31
61,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.268,3,295,0,9,0,304,23.91
62,COLEGIUL TEHNIC ”GHEORGHE CARTIANU”,PIATRA-NEAM?,1.309,0,194,0,7,0,201,15.35
63,?COALA GIMNAZIAL? NR.1,PIATRA-NEAM?,1.842,4,406,0,5,0,411,22.26
64,GR?DINI?A CU PROGRAM NORMAL NR.19,PIATRA-NEAM?,833,0,183,0,7,0,190,22.80
65,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”,PIATRA-NEAM?,1.391,4,275,0,7,0,282,20.21
66,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA”,PIATRA-NEAM?,1.258,2,327,0,0,0,327,25.95
67,LICEUL TEHNOLOGIC ”DIMITRIE LEONIDA” CORP B,PIATRA-NEAM?,1.054,1,287,0,2,0,289,27.39
68,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.755,1,325,0,6,1,332,18.90
69,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,992,0,215,0,8,0,223,22.47
70,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.238,0,266,0,4,0,270,21.80
71,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,896,2,182,0,9,0,191,21.26
72,?COALA GIMNAZIAL? ”DANIELA CUCIUC”,PIATRA-NEAM?,1.698,2,309,0,9,0,318,18.70
73,GR?DINI?A CU PROGRAM PRELUNGIT ”FLOARE DE COL?”,PIATRA-NEAM?,1.506,6,298,0,5,0,303,20.03
74,GR?DINI?A CU PROGRAM PRELUNGIT ”FLOARE DE COL?”,PIATRA-NEAM?,1.276,0,276,0,5,0,281,22.02
75,GR?DINI?A CU PROGRAM NORMAL NR.1,PIATRA-NEAM?,1.511,0,335,0,4,0,339,22.43
